Reaction,Pvalue,Padj,Reject,FC
TCV2_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.20653590830234406
TCX2_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.14199828745989207
TCX19_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2529635626652262
R02332_c,1.4334782434603487e-07,2.459056173740923e-07,True,-0.5007051635823152
R02282_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.3722092911979131
R02739_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.21925296215140608
R01724_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.2650278861515064
R01061_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2879219650320885
R00978_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.3190173519922565
R01279_x,0.0335416594061465,0.043286178193864905,True,-0.07742974762842325
R02111_p,0.001115801546231492,0.0015626158822224213,True,0.14653115831761077
R00330_c,0.0002704973445409677,0.00039362027378030476,True,-0.1458948072897015
R04568_p_reverse,0.001115801546231492,0.0015626158822224213,True,0.1356882433519618
R01641_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3141478547550993
R01706_p_reverse,1.3259673752008224e-06,2.166031867102247e-06,True,0.2505041652624203
R02199_c,0.0002704973445409677,0.00039362027378030476,True,0.24824729126832373
R05983_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.47563579819347207
R06265_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.4668876866840481
R00703_c,0.0002704973445409677,0.00039362027378030476,True,0.1974943126293794
R01209_c,0.001115801546231492,0.0015626158822224213,True,-0.3406843650746091
RN03_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.31176851643037995
R03321_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.30971110883083763
R06085N_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.4374400602759654
R04961_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.43341298092239144
R01561_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.2384754745421917
R00236_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.15346131185221182
R00258_p_reverse,0.0002704973445409677,0.00039362027378030476,True,0.1432627338981782
R01015_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.33834773130230894
R01220_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.20724350625796417
RN03_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.24821605230001914
R04966_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.48133368035096863
R01083_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.2719384088943756
TCX10,1.4508889103849681e-11,3.842730879806213e-11,True,0.3052299962871926
R04534_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5489237398115415
R03051_c,0.001115801546231492,0.0015626158822224213,True,-0.2719979944848332
R00806_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.34904023153799457
R00737_c,0.012298612583953778,0.016458819800513197,True,-0.141965992554583
R01130_c,0.0335416594061465,0.043286178193864905,True,-0.18526894925707404
R01523_p,1.1316933501002751e-08,2.0824473564345178e-08,True,-0.4472890453768991
R00569_c,0.012298612583953778,0.016458819800513197,True,-0.3848179724936213
R01529_p,1.4508889103849681e-11,3.842730879806213e-11,True,0.35861262406839667
R00021_p,9.54696510144592e-06,1.4977023318996947e-05,True,-0.3752377455146923
R01626_p,5.803555641539872e-10,1.2044756462605702e-09,True,0.2877780730237701
R01639_c,1.4334782434603487e-07,2.459056173740923e-07,True,0.23399435213109054
R00709_m,1.4334782434603487e-07,2.459056173740923e-07,True,0.20086673537435296
Bc27,0.012298612583953778,0.016458819800513197,True,-0.08128772635814907
R01070N_c,0.00396729438660086,0.005447499667501832,True,-0.10726471150795885
TCM27,1.4508889103849681e-11,3.842730879806213e-11,True,0.24364212096172105
R00415_c,5.569062975843453e-05,8.42345726095318e-05,True,0.1874124996362424
TCP12_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,-0.3569158462627711
R04966_p,1.4508889103849681e-11,3.842730879806213e-11,True,0.48677141575107225
R02253_c,0.0335416594061465,0.043286178193864905,True,0.3563877982482634
R07765_c,0.0002704973445409677,0.00039362027378030476,True,0.20484360050409545
TCP13_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.23419753005164
R01641_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.36284684295941055
TCX13,1.4508889103849681e-11,3.842730879806213e-11,True,0.34040438931544553
Ex2_reverse,0.0002704973445409677,0.00039362027378030476,True,0.37456521388285985
R00509_c_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.17227439770357317
R00710_c_reverse,0.001115801546231492,0.0015626158822224213,True,0.21162062813715715
TCP29,1.4508889103849681e-11,3.842730879806213e-11,True,0.2508803821775391
R02722_c_reverse,9.54696510144592e-06,1.4977023318996947e-05,True,0.16799891153253918
R00519_x_reverse,5.569062975843453e-05,8.42345726095318e-05,True,0.17902446049013626
TCP5,1.4508889103849681e-11,3.842730879806213e-11,True,0.26747515464290805
R01388_x,1.4508889103849681e-11,3.842730879806213e-11,True,0.26681090078944125
R04428_p_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.2616407627805688
Ex4,1.4508889103849681e-11,3.842730879806213e-11,True,0.31369444154054626
R00959_p,1.4508889103849681e-11,3.842730879806213e-11,True,0.3351258086782564
R01132_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.7473791618502809
TCX4,1.4508889103849681e-11,3.842730879806213e-11,True,0.20500824002159626
R01354_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.28993981829969523
R01036_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.35927275295531724
Ex14,1.4508889103849681e-11,3.842730879806213e-11,True,0.3139837490845033
R02926_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.20386487002079742
R01056_p,1.4508889103849681e-11,3.842730879806213e-11,True,0.29575133517991564
R01373N_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.31409241619794726
R01529_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.34524857150872634
R00127_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.24480278743542236
R02571_c_reverse,0.0002704973445409677,0.00039362027378030476,True,0.16497907765407752
TCM6_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2874943556827934
